Name,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,Region,City,State-Province,CategoryName,ItemCost,NumberofItem
Wyatt,1983-04-28,M,M,wyatt32@adventure-works.com,30000,South,Imperial Beach,California,Bikes,3578.27,52
Shannon,1948-06-26,S,F,shannon1@adventure-works.com,20000,East,Sunbury,Victoria,Bikes,3399.99,62
Clarence,1948-10-09,S,M,clarence32@adventure-works.com,30000,Central,Bendigo,Victoria,Bikes,3399.99,50
Luke,1982-03-07,S,M,luke18@adventure-works.com,40000,West,Langley,British Columbia,Components,699.0982,82
Jordan,1982-09-20,S,M,jordan73@adventure-works.com,40000,East,Metchosin,British Columbia,Components,3399.99,11
Destiny,1982-09-03,S,F,destiny7@adventure-works.com,40000,East,Beaverton,Oregon,Components,3578.27,14
Ethan,1982-10-12,M,M,ethan20@adventure-works.com,40000,South,Bellingham,Washington,Bikes,3578.27,7
Seth,1982-10-11,M,M,seth46@adventure-works.com,40000,West,Bellflower,California,Bikes,3374.99,81
Russell,1982-09-17,M,M,russell7@adventure-works.com,60000,Central,Concord,California,Bikes,3399.99,45
Alejandro,1949-12-23,M,M,alejandro45@adventure-works.com,10000,East,Hawthorne,Queensland,Bikes,3578.27,18
Harold,1950-04-03,S,M,harold3@adventure-works.com,30000,South,Goulburn,New South Wales,Bikes,3578.27,88
Jessie,1950-12-07,M,M,jessie16@adventure-works.com,30000,West,Warrnambool,Victoria,Bikes,699.0982,64
Jill,1950-04-11,M,F,jill13@adventure-works.com,30000,East,St. Leonards,New South Wales,Bikes,3578.27,56
Jimmy,1950-12-21,M,M,jimmy9@adventure-works.com,30000,East,Bendigo,Victoria,Bikes,3578.27,4
Bethany,1951-02-22,M,F,bethany10@adventure-works.com,10000,South,Cloverdale,South Australia,Bikes,3578.27,94
Theresa,1951-08-22,M,F,theresa13@adventure-works.com,20000,West,Matraville,New South Wales,Bikes,3578.27,48
Denise,1951-06-11,M,F,denise10@adventure-works.com,20000,South,Melbourne,Victoria,Bikes,3578.27,50
Jaime,1951-09-23,M,,jaime41@adventure-works.com,20000,East,Milsons Point,New South Wales,Bikes,3578.27,92
Ebony,1951-06-19,M,F,ebony19@adventure-works.com,20000,South,North Sydney,New South Wales,Bikes,3578.27,16
Wendy,1952-02-24,M,F,wendy12@adventure-works.com,10000,West,Cranbourne,Victoria,Bikes,3578.27,55
Jennifer,1982-12-18,M,F,jennifer93@adventure-works.com,60000,East,National City,California,Bikes,699.0982,18
Chloe,1981-11-27,S,F,,40000,East,Cliffside,British Columbia,Bikes,3578.27,91
Diana,1952-03-23,M,F,diana2@adventure-works.com,10000,South,Lavender Bay,New South Wales,Bikes,3578.27,56
Marc,1952-12-17,M,M,marc3@adventure-works.com,30000,West,Wollongong,New South Wales,Bikes,3578.27,34
Jesse,1981-08-01,M,M,jesse15@adventure-works.com,30000,South,Tacoma,Washington,Bikes,3578.27,37
Amanda,1981-10-16,M,F,amanda53@adventure-works.com,60000,East,Glendale,California,Bikes,3578.27,73
Megan,1981-06-13,M,F,megan28@adventure-works.com,70000,South,Los Angeles,California,Bikes,699.0982,93
Nathan,1980-02-24,M,M,nathan11@adventure-works.com,60000,West,Glendale,California,Bikes,3578.27,81
Adam,1953-05-24,M,M,adam10@adventure-works.com,20000,East,Hervey Bay,Queensland,Bikes,3578.27,73
Leonard,1954-05-19,S,M,leonard18@adventure-works.com,30000,East,Matraville,New South Wales,Bikes,699.0982,32
Christine,1954-03-22,M,F,christine4@adventure-works.com,30000,South,Lavender Bay,New South Wales,Bikes,3578.27,86
Jaclyn,1954-02-27,M,F,jaclyn12@adventure-works.com,30000,West,Geelong,Victoria,Bikes,3578.27,24
Jeremy,1954-11-22,M,M,jeremy26@adventure-works.com,30000,South,Sunbury,Victoria,Bikes,3399.99,18
